Countrycode,Countryname
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
